timestamp,open,high,low,close,volume
1517601360000,0.0025,0.002945,0.0007564,0.0021,26215.05
1517601420000,0.002,0.0021796,0.0019,0.0021101,22323.7
1517601480000,0.0021101,0.0021189,0.001999,0.0020511,22787.13
1517601540000,0.002051,0.00219,0.0020111,0.00216,28404.05
1517601600000,0.00216,0.0024,0.00215,0.002399,31451.8
1517601660000,0.002399,0.002673,0.0023399,0.00259,35016.05
1517601720000,0.0025777,0.0026,0.002222,0.0023998,26561.71
1517601780000,0.00237,0.0025648,0.0023105,0.0025646,19917.15
1517601840000,0.0025646,0.002599,0.00248,0.0025,22444.5
1517601900000,0.0025,0.0025,0.00234,0.0023501,14631.88
1517601960000,0.00238,0.0023899,0.0022501,0.00229,15216.32
1517602020000,0.0022501,0.0023735,0.00221,0.0023336,22861.26
1517602080000,0.0023,0.0023336,0.00211,0.00215,21012.49
1517602140000,0.00215,0.00225,0.0021,0.00218,31283.46
1517602200000,0.00218,0.00232,0.00217,0.00228,26108.73
1517602260000,0.00228,0.0022999,0.00218,0.00222,10887.76
1517602320000,0.00222,0.00229,0.0022,0.0022799,10309.22
1517602380000,0.0022799,0.0023405,0.0022703,0.002335,16647.11
1517602440000,0.002335,0.002335,0.0022505,0.0023099,15410.22
1517602500000,0.0023069,0.0023298,0.0022961,0.002318,7671.21
1517602560000,0.002318,0.00235,0.0023,0.0023279,12737.14
1517602620000,0.0023279,0.00239,0.00232,0.0023777,13294.12
1517602680000,0.0023777,0.00247,0.0023711,0.0024445,31280.35
1517602740000,0.0024698,0.0024698,0.0023,0.002444,21764.38
1517602800000,0.0024439,0.0024441,0.0023002,0.00239,12947.85
1517602860000,0.0023901,0.0023934,0.002305,0.0023106,9380.5
1517602920000,0.0023458,0.00238,0.0023106,0.00238,8190.23
1517602980000,0.00238,0.00243,0.00237,0.0024299,13850.15
1517603040000,0.0024299,0.00243,0.002362,0.0023997,11153.69
1517603100000,0.0023996,0.0024097,0.00239,0.0023922,5229.08
