timestamp,open,high,low,close,volume
1517599560000,0.10255,0.10255,0.102084,0.102453,135.976
1517599620000,0.102453,0.102658,0.102333,0.102571,191.363
1517599680000,0.102468,0.10263,0.102451,0.102624,90.755
1517599740000,0.102518,0.102757,0.102505,0.102681,126.756
1517599800000,0.102669,0.10275,0.102451,0.102736,100.706
1517599860000,0.102735,0.103,0.102639,0.102874,77.504
1517599920000,0.102873,0.103219,0.102791,0.103012,145.943
1517599980000,0.103158,0.103369,0.103012,0.103233,223.361
1517600040000,0.103235,0.103868,0.103123,0.103401,330.184
1517600100000,0.103498,0.10378,0.10333,0.103555,207.949
1517600160000,0.103659,0.103828,0.10354,0.103746,152.679
1517600220000,0.1037,0.103911,0.10355,0.103703,170.818
1517600280000,0.103704,0.10395,0.103701,0.103704,105.025
1517600340000,0.103809,0.103809,0.103595,0.103708,84.128
1517600400000,0.103612,0.10389,0.103603,0.103883,124.268
1517600460000,0.103732,0.10395,0.103613,0.103738,158.319
1517600520000,0.103749,0.103933,0.103636,0.103769,148.038
1517600580000,0.103769,0.10395,0.10375,0.10379,111.874
1517600640000,0.10379,0.103948,0.103536,0.10369,163.972
1517600700000,0.10369,0.103799,0.103684,0.10371,57.589
1517600760000,0.103767,0.103813,0.10351,0.10351,180.5
1517600820000,0.10351,0.103623,0.10351,0.10351,138.642
1517600880000,0.103511,0.103622,0.1035,0.103589,87.677
1517600940000,0.103589,0.103589,0.103446,0.10349,42.794
1517601000000,0.103578,0.103617,0.103469,0.103608,61.473
1517601060000,0.103473,0.10363,0.103473,0.103628,85.796
1517601120000,0.103514,0.103735,0.103514,0.103734,52.23
1517601180000,0.10373,0.103835,0.103596,0.1038,56.073
1517601240000,0.103807,0.1039,0.1037,0.103738,129.383
1517601300000,0.103844,0.103987,0.103766,0.103875,89.9
1517601360000,0.103975,0.103979,0.103735,0.103907,77.966
1517601420000,0.103752,0.103903,0.1034,0.103607,165.359
1517601480000,0.103736,0.103738,0.103394,0.103544,90.269
1517601540000,0.103671,0.103671,0.103411,0.103598,84.791
1517601600000,0.103596,0.103987,0.103415,0.103563,121.693
1517601660000,0.103574,0.103984,0.103487,0.103632,103.735
1517601720000,0.103489,0.1037,0.103384,0.1034,150.291
1517601780000,0.1034,0.103606,0.103252,0.1035,143.482
1517601840000,0.103548,0.103563,0.103409,0.10342,93.151
1517601900000,0.10342,0.103534,0.103407,0.10353,61.565
1517601960000,0.103528,0.103535,0.103407,0.10347,77.59
1517602020000,0.10347,0.1036,0.103408,0.103598,96.236
1517602080000,0.103594,0.103688,0.10325,0.103525,166.616
1517602140000,0.103527,0.103651,0.103261,0.103626,94.755
1517602200000,0.103626,0.1039,0.103523,0.103708,127.25
1517602260000,0.103605,0.103837,0.103301,0.103832,139.08
1517602320000,0.103832,0.103915,0.103832,0.103832,71.6
1517602380000,0.103832,0.104,0.103832,0.103969,174.981
1517602440000,0.103969,0.104096,0.103969,0.103969,311.845
1517602500000,0.10397,0.104081,0.103969,0.104081,77.979
1517602560000,0.10408,0.10411,0.103868,0.103989,168.277
1517602620000,0.103989,0.1042,0.103988,0.104104,102.403
1517602680000,0.104258,0.104349,0.104106,0.104314,122.254
1517602740000,0.104313,0.104345,0.104,0.104218,228.791
1517602800000,0.104271,0.10451,0.104008,0.104242,136.608
1517602860000,0.104242,0.104555,0.104228,0.104243,121.917
1517602920000,0.104244,0.104524,0.104233,0.104502,85.068
1517602980000,0.104501,0.104561,0.104398,0.104516,155.736
1517603040000,0.104516,0.104544,0.1043,0.1044,102.485
1517603100000,0.104399,0.104504,0.1043,0.104311,71.861
1517603160000,0.104399,0.104408,0.104228,0.104363,117.652
1517603220000,0.10426,0.104511,0.104259,0.104388,137.602
1517603280000,0.104389,0.1046,0.104386,0.104499,152.982
1517603340000,0.104518,0.104783,0.104518,0.104568,107.238
1517603400000,0.104568,0.104782,0.104568,0.104646,127.358
1517603460000,0.104646,0.104783,0.104634,0.104656,69.416
1517603520000,0.104657,0.104793,0.1046,0.104671,72.971
1517603580000,0.104774,0.1049,0.104671,0.104783,141.283
1517603640000,0.104782,0.10498,0.104782,0.10498,93.822
1517603700000,0.104865,0.104975,0.104848,0.104878,122.517
1517603760000,0.104956,0.104968,0.104859,0.104859,112.086
1517603820000,0.10495,0.10495,0.10469,0.104781,139.088
1517603880000,0.104781,0.104872,0.104759,0.104828,111.158
1517603940000,0.104869,0.104905,0.104828,0.104828,77.603
1517604000000,0.104828,0.104949,0.104828,0.104828,87.496
1517604060000,0.104828,0.104931,0.104769,0.104798,195.355
1517604120000,0.104799,0.104899,0.104798,0.104798,207.402
1517604180000,0.104798,0.1048,0.104766,0.104798,279.037
1517604240000,0.104766,0.10489,0.10439,0.104463,174.109
1517604300000,0.10445,0.104588,0.10445,0.10448,78.154
1517604360000,0.10455,0.104642,0.10441,0.10451,124.105
1517604420000,0.10451,0.10451,0.104398,0.104398,87.858
1517604480000,0.104398,0.1045,0.104398,0.104494,140.09
1517604540000,0.104494,0.1045,0.104395,0.104395,138.426
1517604600000,0.104398,0.104457,0.104192,0.104193,233.32
1517604660000,0.104194,0.10429,0.103995,0.103995,116.327
1517604720000,0.103995,0.104094,0.103863,0.103878,139.091
1517604780000,0.103878,0.103994,0.103875,0.103993,169.42
1517604840000,0.103917,0.104193,0.103901,0.103919,103.687
1517604900000,0.103918,0.104092,0.103888,0.103888,227.197
