timestamp,open,high,low,close,volume
1517601360000,0.0201,0.0275,0.019,0.024,8199.58
1517601420000,0.021,0.02438,0.02,0.020005,11005.87
1517601480000,0.020658,0.022,0.019,0.0201,13102.9
1517601540000,0.0201,0.021,0.0191,0.0208,6009.01
1517601600000,0.0208,0.0238,0.0208,0.023344,12263.77
1517601660000,0.023344,0.029987,0.023,0.026999,12813.28
1517601720000,0.025004,0.026999,0.022,0.023003,9720.29
1517601780000,0.023003,0.0247,0.02231,0.0247,7056.11
1517601840000,0.0247,0.02595,0.0243,0.02499,7912.91
1517601900000,0.02499,0.024997,0.023001,0.023055,5279.41
1517601960000,0.023499,0.023499,0.02201,0.02201,5355.89
1517602020000,0.02221,0.023,0.022,0.0225,5895.67
1517602080000,0.0225,0.0228,0.02023,0.020955,9837.69
1517602140000,0.021,0.021,0.02,0.020999,6350.26
1517602200000,0.020953,0.0225,0.020953,0.0222,5285.33
1517602260000,0.0222,0.0223,0.020112,0.021433,4233.57
1517602320000,0.021433,0.0221,0.021101,0.0221,3024.84
1517602380000,0.021999,0.022598,0.021802,0.022489,3152.63
1517602440000,0.022489,0.022597,0.0219,0.022475,5334.64
1517602500000,0.022475,0.0225,0.022112,0.0225,5070.78
1517602560000,0.0224,0.0227,0.021757,0.022629,7449.13
1517602620000,0.022629,0.022777,0.022312,0.022749,2965.15
1517602680000,0.022749,0.02389,0.022749,0.02365,8256.64
1517602740000,0.023649,0.023799,0.0234,0.0235,7731.62
1517602800000,0.023502,0.023599,0.023,0.023002,6385.05
1517602860000,0.023002,0.023149,0.0225,0.022601,2424.87
1517602920000,0.022508,0.022701,0.02231,0.022701,2917.08
1517602980000,0.022701,0.02345,0.022506,0.02322,3082.1
1517603040000,0.02322,0.023449,0.022908,0.022955,3892.12
1517603100000,0.022996,0.022997,0.0228,0.022988,2159.67
