timestamp,bid,ask,last
1517599593395,0.000955,0.00095751,0.00095599
1517599652311,0.00095601,0.00095792,0.00095601
1517599708682,0.00095605,0.00095784,0.00095605
1517599772055,0.000957,0.00095799,0.00095799
1517599832291,0.00096704,0.0009676,0.00096704
1517599892240,0.00096795,0.0009699,0.0009699
1517599951849,0.00096795,0.00096993,0.00096997
1517600011996,0.00096944,0.00097092,0.00097092
1517600071987,0.00097094,0.00097298,0.0009676
1517600132300,0.00096831,0.00097099,0.00096944
1517600192013,0.00096603,0.0009675,0.0009675
1517600252596,0.0009618,0.0009641,0.00096174
1517600311154,0.0009625,0.00096344,0.0009625
1517600372355,0.0009635,0.00096699,0.00096337
1517600432003,0.000963,0.00096347,0.0009634
1517600492611,0.00096287,0.000965,0.000965
1517600549030,0.00096391,0.000965,0.000965
1517600612096,0.00096413,0.000965,0.000965
1517600672239,0.00096658,0.00096887,0.00096889
1517600732575,0.00096749,0.00096885,0.00096885
1517600791227,0.00096647,0.00096681,0.00096687
1517600852084,0.00096306,0.00096394,0.00096394
1517600912483,0.00096305,0.00096389,0.00096305
1517600972617,0.00096387,0.00096394,0.00096387
1517601032822,0.00096446,0.000966,0.000966
1517601092309,0.00096398,0.00096578,0.00096578
1517601151979,0.000964,0.00096525,0.000964
1517601212524,0.0009631,0.00096519,0.00096519
1517601272494,0.00096326,0.00096516,0.00096516
1517601330425,0.0009633,0.00096516,0.0009633
1517601393750,0.00096339,0.00096511,0.00096511
1517601452364,0.00096051,0.00096385,0.00096385
1517601511498,0.00096076,0.00096278,0.00096281
1517601571942,0.00096086,0.0009628,0.0009628
1517601632060,0.0009628,0.00096281,0.0009628
1517601692141,0.000961,0.00096259,0.00096019
1517601751945,0.00096013,0.00096118,0.00096118
1517601813397,0.00096098,0.0009611,0.0009611
1517601872488,0.00096001,0.00096109,0.00096001
1517601931931,0.00096002,0.000961,0.00096109
1517601992022,0.00096004,0.000961,0.00096109
1517602052078,0.00096004,0.000961,0.000961
1517602112768,0.00096006,0.00096007,0.00096007
1517602170841,0.00095999,0.00096004,0.00095999
1517602228345,0.00095941,0.00095985,0.00095985
1517602292117,0.00095704,0.00096004,0.00096004
1517602352519,0.000958,0.00095971,0.000958
1517602411800,0.00095604,0.00095697,0.00095604
1517602471995,0.00095698,0.000958,0.00095698
1517602532248,0.00095701,0.0009594,0.0009594
1517602591553,0.00095704,0.00095848,0.00095702
1517602651972,0.00096097,0.000961,0.00096097
1517602710789,0.00095802,0.00096098,0.00095794
1517602771871,0.000961,0.0009611,0.00096195
1517602831033,0.00095804,0.0009609,0.00095805
1517602892697,0.00095873,0.00096082,0.00096082
1517602952817,0.00095902,0.0009607,0.00096071
1517603012111,0.00095877,0.0009607,0.00095877
1517603072552,0.00095807,0.00095996,0.00095807
1517603131951,0.00095807,0.00095999,0.00095808
1517603192183,0.00095802,0.00095807,0.00095807
1517603250696,0.00095715,0.00095805,0.00095805
1517603312649,0.00095654,0.00095799,0.00095648
1517603372053,0.00095516,0.00095638,0.0009564
1517603431922,0.0009532,0.00095498,0.00095498
1517603491965,0.00095442,0.00095768,0.00095768
1517603552711,0.00095504,0.00095696,0.00095696
1517603612072,0.00095429,0.0009561,0.00095431
1517603672256,0.00095512,0.00095719,0.00095719
1517603732310,0.00095533,0.00095718,0.00095718
1517603792263,0.00095535,0.00095596,0.00095596
1517603852345,0.00095791,0.00095805,0.00095805
1517603912491,0.00095806,0.00095828,0.00095828
1517603972101,0.0009544,0.00095786,0.00095787
1517604032357,0.00095541,0.00095976,0.00095807
1517604092042,0.00095545,0.00095771,0.00095731
1517604152261,0.0009543,0.00095431,0.00095597
1517604212403,0.00095369,0.00095581,0.00095367
1517604272591,0.00095368,0.00095555,0.00095559
1517604333216,0.00095582,0.00095586,0.00095586
1517604392299,0.0009556,0.00095582,0.00095582
1517604452205,0.00095393,0.00095559,0.00095393
1517604512438,0.00095559,0.00095582,0.00095582
1517604572027,0.00095584,0.00095802,0.00095584
1517604630741,0.00095607,0.00095798,0.00095798
1517604692672,0.00095607,0.000958,0.000958
1517604752157,0.00095996,0.00096082,0.00096
1517604812055,0.00096001,0.00096082,0.00096082
1517604872405,0.00095996,0.00096044,0.00096
1517604931940,0.00095875,0.0009603,0.00096
